siteNo,date,discharge
basin0,1982-07-19,56.8637661578
basin0,1982-07-20,56.3654790931
basin0,1982-07-21,57.8387309261
basin0,1982-07-22,56.5567862029
basin0,1982-07-23,53.9441065557
basin0,1982-07-24,51.4415146602
basin0,1982-07-25,49.1733708093
basin0,1982-07-26,47.1079525672
basin0,1982-07-27,45.2190435571
basin0,1982-07-28,201.45083374
basin0,1982-07-29,59.4190753284
basin0,1982-07-30,55.1959212878
basin0,1982-07-31,53.1342053737
basin0,1982-08-01,78.1661673774
basin0,1982-08-02,55.9824824981
basin0,1982-08-03,53.9305145977
basin0,1982-08-04,51.7800994348
basin0,1982-08-05,49.5911711493
basin0,1982-08-06,47.4854459452
basin0,1982-08-07,45.5616208961
basin0,1982-08-08,43.7969285411
basin0,1982-08-09,43.2744012091
basin0,1982-08-10,44.2163628451
basin0,1982-08-11,43.3928076561
basin0,1982-08-12,41.9953937454
basin0,1982-08-13,40.5072313185
basin0,1982-08-14,39.1278727465
basin0,1982-08-15,37.8457285528
basin0,1982-08-16,36.6508061077
basin0,1982-08-17,35.534442864
basin0,1982-08-18,38.8617881901
basin0,1982-08-19,38.0923773201
basin0,1982-08-20,37.4471081312
basin0,1982-08-21,36.4081198172
basin0,1982-08-22,36.1012333194
basin0,1982-08-23,34.7804527334
basin0,1982-08-24,34.4946651622
basin0,1982-08-25,36.5094956355
basin0,1982-08-26,47.5030610382
basin0,1982-08-27,41.10782289
basin0,1982-08-28,39.4071018277
basin0,1982-08-29,38.1033908559
basin0,1982-08-30,36.8891952677
basin0,1982-08-31,35.7555442508
basin0,1982-09-01,112.612535278
basin0,1982-09-02,54.7663204297
basin0,1982-09-03,116.932701061
basin0,1982-09-04,104.04178157
basin0,1982-09-05,95.8048532473
basin0,1982-09-06,86.8891648238
basin0,1982-09-07,80.2588006818
basin0,1982-09-08,74.6111257467
basin0,1982-09-09,69.7404696324
basin0,1982-09-10,65.495215152
basin0,1982-09-11,61.7610450066
basin0,1982-09-12,58.4500801472
basin0,1982-09-13,55.4936189203
basin0,1982-09-14,52.8371531152
basin0,1982-09-15,50.4368668958
basin0,1982-09-16,82.47444217
basin0,1982-09-17,56.3941384337
basin0,1982-09-18,55.0012101296
basin0,1982-09-19,52.3915760631
basin0,1982-09-20,50.0316317338
basin0,1982-09-21,47.6381547292
basin0,1982-09-22,48.6754416772
basin0,1982-09-23,57.5550133334
basin0,1982-09-24,55.2229108159
basin0,1982-09-25,52.2599620363
basin0,1982-09-26,49.6147824368
basin0,1982-09-27,101.507489059
basin0,1982-09-28,147.249032053
basin0,1982-09-29,150.958444283
basin0,1982-09-30,135.555964143
basin0,1982-10-01,107.19970383
basin0,1982-10-02,94.3705543785
basin0,1982-10-03,84.4926673929
basin0,1982-10-04,76.3721596127
basin0,1982-10-05,69.5728372173
basin0,1982-10-06,63.7929623675
basin0,1982-10-07,58.8168600905
